"Jumlah Murid Sekolah Menengah Atas (SMA) di Bawah Kementerian Pendidikan dan Kebudayaan Menurut Kabupaten/Kota di Provinsi Jawa Timur, 2021/2022 dan 2022/2023",,,,,,,
"Kabupaten/Kota
Regency/Municipality",Murid/Students,,,,,,
,Negeri/Public,,Swasta/Private,,Jumlah/Total,,
,2021/2022,2022/2023,2021/2022,2022/2023,2021/2022,2022/2023,
Kabupaten/Regency,,,,,,,
Pacitan,"3,564","3,563",118,110,"3,682","3,673",
Ponorogo,"8,806","8,631","1,770","1,844","10,576","10,475",
Trenggalek,"7,286","7,470",422,397,"7,708","7,867",
Tulungagung,"11,831","11,867","2,067","1,987","13,898","13,854",
Blitar,"7,606","7,645","1,309","1,281","8,915","8,926",
Kediri,"14,339","14,721","1,855","1,946","16,194","16,667",
Malang,"12,478","12,719","14,350","14,604","26,828","27,323",
Lumajang,"9,390","9,523","1,928","1,984","11,318","11,507",
Jember,"16,959","16,337","9,240","9,059","26,199","25,396",
Banyuwangi,"15,165","15,527","5,005","4,797","20,170","20,324",
Bondowoso,"4,680","4,526","2,662","2,613","7,342","7,139",
Situbondo,"6,367","6,382","4,029","4,158","10,396","10,540",
Probolinggo,"7,746","7,942","7,455","6,868","15,201","14,810",
Pasuruan,"7,467","7,467","6,309","6,308","13,776","13,775",
Sidoarjo,"14,736","14,811","17,924","17,870","32,660","32,681",
Mojokerto,"11,225","11,426","2,745","2,718","13,970","14,144",
Jombang,"9,502","9,491","9,217","9,034","18,719","18,525",
Nganjuk,"12,525","12,769","2,351","2,486","14,876","15,255",
Madiun,"6,995","7,174",434,378,"7,429","7,552",
Magetan,"7,811","7,989",537,521,"8,348","8,510",
Ngawi,"7,325","7,326",908,808,"8,233","8,134",
Bojonegoro,"13,481","13,761","3,559","3,437","17,040","17,198",
Tuban,"10,703","10,861","1,232","1,198","11,935","12,059",
Lamongan,"12,126","12,234","7,184","7,139","19,310","19,373",
Gresik,"12,460","12,734","7,524","7,474","19,984","20,208",
Bangkalan,"6,837","6,928","9,576","9,944","16,413","16,872",
Sampang,"4,517","4,267","7,685","7,639","12,202","11,906",
Pamekasan,"5,523","5,546","7,562","7,439","13,085","12,985",
Sumenep,"6,615","6,707","7,986","7,880","14,601","14,587",
Kota/Municipality,,,,,,,
Kediri,"9,387","9,282","2,973","2,590","12,360","11,872",
Blitar,"4,041","4,149",695,726,"4,736","4,875",
Malang,"10,633","10,851","8,928","8,650","19,561","19,501",
Probolinggo,"3,479","3,391","1,029","1,004","4,508","4,395",
Pasuruan,"3,335","3,369",866,882,"4,201","4,251",
Mojokerto,"3,067","3,141","1,008","1,063","4,075","4,204",
Madiun,"5,245","5,455",258,258,"5,503","5,713",
Surabaya,"22,758","22,831","33,880","33,052","56,638","55,883",
Batu,"2,720","2,739","1,941","2,017","4,661","4,756",
Jawa Timur,"340,730","343,552","196,521","194,163","537,251","537,715",
"Catatan/Note    :  1  Jumlah guru termasuk kepala sekolah dan guru/The total of teachers including headmaster and teacher
Sumber/Source :    Kementerian Pendidikan dan Kebudayaan, Sistem Data Pokok Pendidikan, data semester ganjil/ Ministry of Educations and Culture, Basic Education Data System, odd semester",,,,,,,